_id_,comp_externo1,comp_externo2,comp_externo3,comp_externo4
45737,179.7101449,7.325481184,132,-230
57970,46.66666667,93,-230,
25905,231.884058,22.98190175,121,-230
10599,108.115942,10.71531169,111,-230
90370,466.3768116,46.2223499,129,-230
68236,266.6666667,23.70008618,131,-230
28013,211.5942029,20.97098535,85,-230
8178,449.2753623,92,-230,
15216,124.6376812,12.35277219,106,-230
41776,95.65217391,9.480034473,112,-230
95690,405.7971014,40.21832807,99,-230
7692,-609,9999999770,,
21194,502.3188406,49.78454467,123,-230
87669,681.1594203,67.5093364,132,-230
12160,173.0434783,10.05458202,115,-230
45360,101.4492754,10.05458202,131,-230
96667,324.6376812,32.17466245,127,-230
94923,1159.42029,14.3636886,127,-230
55146,26.08695652,2.585463947,111,-230
98222,784.3478261,77.73628268,122,-230
76882,144.9275362,90,-230,
92985,290.4347826,5.056018386,124,-230
31081,62.60869565,86,-230,
44490,101.4492754,10.05458202,51,-229
1476,811.5942029,49.41108877,33,-230
8730,57.97101449,5.745475438,129,-230
63627,75.36231884,6.320022982,59,-230
34548,154.7826087,15.34041942,109,-230
73574,501.4492754,49.69836254,56,-229
92312,765.2173913,75.84027578,132,-230
94588,951.7217391,67.22206263,98,-230
2484,202.8985507,20.10916403,107,-230
73156,747.826087,31.45647802,134,-230
65422,200,19.82189026,123,-230
91782,118.2608696,11.72076989,131,-230
20268,1159.42029,114.9095088,129,-230
12676,94.20289855,9.336397587,60,-230
13606,265.3913043,26.30278656,87,-230
21152,57.97101449,5.745475438,91,-230
59310,918.8405797,91.06578569,118,-230
71362,86.95652174,8.618213157,117,-230
7596,250.7246377,24.84918127,129,-230
40061,269.8550725,26.74518816,75,-230
97397,858.8405797,85.11921862,134,-230
31295,585.5072464,0.002585464,92,-230
374,169.2753623,16.77678828,85,-230
71079,205.7971014,20.39643781,53,-230
69583,948.6956522,94.02470554,50,-230
72454,46.37681159,4.59638035,80,-230
54444,41.15942029,4.079287561,46,-230
36352,57.97101449,5.745475438,27,-230
8238,197.1014493,19.53461649,81,-230
21073,631.1594203,45.70525711,112,-230
44180,1179.710145,116.9204252,80,-230
65895,434.7826087,43.09106579,103,-230
15649,28.98550725,2.872737719,43,-229
36177,130.4347826,12.92731974,79,-230
22984,-609,9999999770,,
3645,111.1507246,48,-230,
41663,204.6666667,20.28440103,65,-230
73928,1200,118.9313416,104,-230
38943,666.6666667,38.78195921,95,-230
67435,263.7681159,26.14191324,-45,-230
83809,190.7246377,4.021832807,111,-230
9164,947.826087,93.93852341,132,-230
47631,579.7101449,57.45475438,42,-229
