_id_,fecha_inicio,comp_interno1,comp_interno2,comp_interno3,comp_interno4,categoria1,categoria2,categoria3,comp_externo1,comp_externo2,comp_externo3,comp_externo4
8178,12/08/2016,0,b'1',1,70,1,8,146,449.2753623,92,-230,
15216,10/10/2016,0,b'1',30,45,3,5,175,124.6376812,12.35277219,106,-230
41776,27/02/2018,0,b'1',15,48,1,9,160,95.65217391,9.480034473,112,-230
95690,11/03/2021,7598.784195,b'1',25,59,2,9,170,405.7971014,40.21832807,99,-230
7692,18/04/2016,0,b'1',24,46,1,6,169,-609,9999999770,,
21194,23/12/2016,0,b'1',15,50,3,11,160,502.3188406,49.78454467,123,-230
87669,29/10/2020,1519.756839,b'1',19,72,3,9,164,681.1594203,67.5093364,132,-230
12160,31/08/2016,1215.805471,b'1',7,61,3,6,152,173.0434783,10.05458202,115,-230
45360,30/05/2018,0,b'1',19,47,1,9,164,101.4492754,10.05458202,131,-230
96667,23/03/2021,0,b'0',1,64,2,9,146,324.6376812,32.17466245,127,-230
94923,08/01/2021,7700.101317,b'1',1,57,3,9,146,1159.42029,14.3636886,127,-230
55146,01/11/2018,0,b'1',6,62,2,6,151,26.08695652,2.585463947,111,-230
98222,15/04/2021,0,b'1',31,75,2,9,176,784.3478261,77.73628268,122,-230
76882,06/02/2020,0,b'1',19,52,4,5,164,144.9275362,90,-230,
92985,20/01/2021,0,b'1',19,51,1,3,164,290.4347826,5.056018386,124,-230
31081,19/07/2017,506.585613,b'1',9,75,1,9,154,62.60869565,86,-230,
44490,23/03/2018,911.8541033,b'1',19,75,1,9,164,101.4492754,10.05458202,51,-229
1476,22/03/2016,0,b'1',14,58,2,8,159,811.5942029,49.41108877,33,-230
8730,10/05/2016,0,b'0',1,44,1,9,146,57.97101449,5.745475438,129,-230
63627,30/04/2019,0,b'0',1,50,2,11,146,75.36231884,6.320022982,59,-230
34548,04/09/2017,425.5319149,b'0',2,50,3,9,147,154.7826087,15.34041942,109,-230
73574,31/12/2019,0,b'1',19,68,3,9,164,501.4492754,49.69836254,56,-229
